League,Home_Team,Away_Team,Home_FH,Away_FH,Home_Result,Away_Result,Odds_Home,Odds_Draw,Odds_Away,Alt-Ust
English Premier,Manchester City , Brentford,1,0,2,0,1.1,8.0,12.0,UST
English Premier,Tottenham , Southampton,1,1,2,3,1.45,3.8,5.8,UST
English Premier,Norwich , Crystal Palace,1,0,1,1,3.2,3.0,2.1,UST
English Premier,Burnley , Manchester Utd,0,1,1,1,6.5,3.8,1.42,UST
English Premier,West Ham , Watford,0,0,1,0,1.42,4.0,6.0,ALT
English Premier,Newcastle , Everton,1,1,3,1,2.35,3.1,2.65,UST
English Premier,Burnley , Watford,0,0,0,0,2.05,3.1,3.2,ALT
English Premier,Chelsea , Tottenham,0,0,2,0,1.65,3.4,4.5,ALT
English Premier,Crystal Palace , Liverpool,0,2,1,3,5.8,3.9,1.45,UST
English Premier,Arsenal , Burnley,0,0,0,0,1.25,4.8,8.5,ALT
English Premier,Leicester , Brighton,0,0,1,1,2.4,3.3,2.5,ALT
English Premier,Southampton , Manchester City,1,0,1,1,8.5,5.0,1.27,UST
English Premier,Brentford , Wolverhampton,0,0,1,2,2.35,2.85,2.95,UST
English Premier,Manchester Utd , West Ham,0,0,1,0,1.75,3.6,3.6,ALT
English Premier,Leeds , Newcastle,0,0,0,1,1.82,3.5,3.6,ALT
English Premier,Everton , Aston Villa,0,1,0,1,2.6,3.4,2.3,ALT
English Premier,Watford , Norwich,0,0,0,3,1.9,3.5,3.5,UST
English Premier,Brentford , Manchester Utd,0,0,1,3,4.2,3.7,1.67,UST
English Premier,Leicester , Tottenham,1,1,2,3,3.05,3.2,2.05,UST
English Premier,Brighton , Chelsea,0,1,1,1,5.5,3.9,1.45,UST
English Premier,West Ham , Leeds,1,2,2,3,1.48,4.1,4.8,UST
English Premier,Liverpool , Brentford,1,0,3,0,1.2,5.2,11.0,UST
English Premier,Aston Villa , Manchester Utd,0,1,2,2,2.6,3.2,2.25,UST
English Premier,Newcastle , Watford,0,0,1,1,1.72,3.4,4.0,ALT
English Premier,Wolverhampton , Southampton,1,0,3,1,2.25,2.9,3.0,UST
English Premier,Norwich , Everton,2,0,2,1,3.3,3.1,1.97,UST
English Premier,Manchester City , Chelsea,0,0,1,0,1.65,3.9,3.8,ALT
English Premier,Brighton , Crystal Palace,0,0,1,1,1.97,3.1,3.5,ALT
